# category overrides: <index>|<active 0/1>|<kind>|<behFlags w1 f2 canFly4 projectile8 rr16 builder32 perStruct64 hasMana128>|<faction>|<linkCat>|<linkRadius>|<footprint>|<hp>|<manaRegen>|<modelPath (custom only)>|<name>
0|1|1|1040|0|-1|6|0.42|250|5|1,0,0||Matrix Core|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
1|1|1|1024|0|-1|6|0.630005|400|5|1,0,0||Factory|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
3|1|1|1040|1|-1|6|0.419998|250|5|1,0,0||Manifestor|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
5|1|0|1569|0|-1|6|1|50|5|1,0,0||Workbot|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,2.5,10,0.5,0.125,1|0|0|0|0.4,0.7,1,0.55|
6|1|0|0|0|-1|6|1|400|5|1,0,0||Attack Bot|0||30|0.5|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
7|1|0|1024|2|-1|6|1|300|5|1,0,0||Ogre|0||4|0.8|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.20001,1.20001,10.95,1.3,10,0.5,1.10001,6|0|0|0|0.4,0.7,1,0.55|
8|1|0|1057|2|-1|6|1|75|5|1,0,0||Imp|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.12825,1.5,1.5,12.25,1.3,10,0.5,0.833298,3|0|0|0|0.4,0.7,1,0.55|
9|1|0|1032|1|-1|6|1|150|5|1,0,0||Alien|0||2|1.3|0,0,0|1|0,0,0,0.5,0,0|0|0.105301,1.8,1.8,16.1,1.3,12,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
10|1|0|1571|1|-1|6|1|50|5|1,0,0||Probe|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0.75|0.105301,1.8,1.8,16.1,2.5,12,0.5,0.5,1|0|0|0|0.4,0.7,1,0.55|
11|1|2|1024|3|-1|6|1|500|5|1,0,0||Ore|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
12|1|1|1024|0|-1|6|0.419998|250|5|1,0,0||Compute Cluster|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.125,3|0|0|0|0.4,0.7,1,0.55|
13|1|0|1416|2|-1|6|1|100|1|1,0,0||Witch|0||3|0.7|0,0,0|1|0,0,0,0.5,0,0|0|0.179993,1.5,1.5,10.2901,1.3,10,0.5,0.625,4|0|0|0|0.4,0.7,1,0.55|
14|1|0|2|2|-1|6|1|150|5|1,0,0||Ghost|0||1|0.6|0,0,0|1|0,0,0,0.5,0,0|0.6|0.179993,1.72499,1.72499,10.2901,1.3,10,0.5,0.5,3|0|0|0|0.4,0.7,1,0.55|
15|1|1|1024|2|15|6|0.300003|120|5|1,0,0||Tree|0||1|1|0,1,1|3|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
16|1|1|1024|2|16|6|0.399994|150|5|1,0,0||Swamp|0||1|1|0,0,0|1|0,0,0,0.5,0,0|0|0.1035,1.5,1.5,12.25,1.3,10,0.5,0.149994,3|0|0|0|0.4,0.7,1,0.55|
